trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.9973614233649141}",20,0,-88.58152275447931,"{0: 15, 1: 0, 2: 1, 3: 3, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.9972343397038353}",20,0,-59.937402070384984,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.9971042714208458}",20,0,-218.55883163580594,"{0: 8, 1: 1, 2: 6, 3: 2, 4: 3}",0
45,False,"{'a': 0.5, 'e': 0.9969712189052266}",20,0,-151.80435288414844,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
46,False,"{'a': 0.5, 'e': 0.9968351825551904}",30,0,-206.2056754891524,"{0: 18, 1: 1, 2: 6, 3: 2, 4: 3}",0
47,False,"{'a': 0.5, 'e': 0.9966961627778805}",20,0,-34.80737347414624,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.9965541599893691}",20,0,-125.36159623146767,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.9964091746146561}",20,0,-168.26874597485403,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
50,False,"{'a': 0.5, 'e': 0.9962612070876682}",25,0,-177.90020448484754,"{0: 13, 1: 1, 2: 5, 3: 5, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.9961102578512572}",20,0,-127.71568670379237,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.9959563273571991}",30,0,-89.07679402461926,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.9957994160661922}",30,16,-56.483838257425134,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 1}",1
54,False,"{'a': 0.5, 'e': 0.9956395244478563}",20,0,-140.02475564757995,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.9954766529807308}",25,0,-94.50826624780895,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.9953108021522739}",35,0,-148.91857383340215,"{0: 21, 1: 2, 2: 10, 3: 1, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.99514197245886}",35,0,-206.58281092045476,"{0: 20, 1: 3, 2: 7, 3: 3, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.9949701644057796}",20,0,-67.6293532130837,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.9947953785072369}",20,0,-44.18483866432893,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.9946176152863484}",20,0,-135.43883862197225,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
61,False,"{'a': 0.5, 'e': 0.9944368752751416}",35,0,-104.54182600391131,"{0: 26, 1: 2, 2: 4, 3: 2, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.9942531590145529}",25,0,-57.171597985040954,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.9940664670544269}",20,0,-165.0619938027394,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.9938767999535137}",30,0,-261.1210209914611,"{0: 14, 1: 4, 2: 6, 3: 2, 4: 4}",0
65,False,"{'a': 0.5, 'e': 0.9936841582794678}",20,0,-80.64881439931482,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.9934885426088462}",25,0,-43.362295420118556,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.9932899535271071}",25,0,-76.04966814812333,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.9930883916286076}",20,0,-172.64050485647286,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
69,False,"{'a': 0.5, 'e': 0.992883857516602}",20,0,-218.44112543378412,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 4}",0
70,False,"{'a': 0.5, 'e': 0.9926763518032404}",25,0,-125.9778876532181,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
71,False,"{'a': 0.5, 'e': 0.9924658751095665}",30,0,-77.92031534642368,"{0: 19, 1: 4, 2: 6, 3: 1, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.9922524280655158}",20,0,-91.27934467051405,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.9920360113099139}",25,14,-89.85729496783534,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 2}",1
74,False,"{'a': 0.5, 'e': 0.9918166254904741}",25,0,-132.61928802575213,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
75,False,"{'a': 0.5, 'e': 0.9915942712637964}",35,0,-211.79902798934845,"{0: 22, 1: 2, 2: 7, 3: 0, 4: 4}",0
76,False,"{'a': 0.5, 'e': 0.9913689492953642}",25,15,-15.530267568992116,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.9911406602595438}",25,0,-94.81874829024002,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.9909094048395811}",20,0,-41.53814472837911,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.9906751837276004}",25,0,-134.36012491577776,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
80,False,"{'a': 0.5, 'e': 0.9904379976246017}",30,0,-140.57302607043343,"{0: 17, 1: 6, 2: 5, 3: 0, 4: 2}",0
81,False,"{'a': 0.5, 'e': 0.9901978472404593}",25,0,-217.2409050709649,"{0: 9, 1: 4, 2: 7, 3: 3, 4: 2}",0
82,False,"{'a': 0.5, 'e': 0.989954733293919}",25,0,-99.23627832456174,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.9897086565125964}",20,0,-107.36307372947103,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.9894596176329746}",20,0,-15.036717450728268,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.9892076174004016}",25,0,-231.92951315557076,"{0: 14, 1: 0, 2: 5, 3: 2, 4: 4}",0
86,False,"{'a': 0.5, 'e': 0.988952656569089}",20,0,-168.27580429569267,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 3}",0
87,False,"{'a': 0.5, 'e': 0.9886947359021087}",30,0,-126.06957579647906,"{0: 20, 1: 0, 2: 7, 3: 2, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.9884338561713913}",25,0,-144.11447631794715,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
89,False,"{'a': 0.5, 'e': 0.9881700181577237}",20,0,-107.27783064634995,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
90,False,"{'a': 0.5, 'e': 0.9879032226507463}",25,0,-104.54670394467018,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.9876334704489512}",20,0,-175.59324191834563,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
92,False,"{'a': 0.5, 'e': 0.9873607623596797}",30,0,-128.32344311812778,"{0: 22, 1: 0, 2: 5, 3: 1, 4: 2}",0
93,False,"{'a': 0.5, 'e': 0.9870850991991196}",25,0,-189.2984459141523,"{0: 11, 1: 5, 2: 6, 3: 0, 4: 3}",0
94,False,"{'a': 0.5, 'e': 0.9868064817923028}",25,0,-104.87454279539404,"{0: 15, 1: 0, 2: 7, 3: 3, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.9865249109731034}",20,0,-16.090478880072702,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.9862403875842342}",20,0,-125.8349018442739,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
97,False,"{'a': 0.5, 'e': 0.9859529124772451}",20,0,-95.3002441988756,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.9856624865125204}",25,0,-174.6028829531051,"{0: 13, 1: 4, 2: 3, 3: 3, 4: 2}",0
99,False,"{'a': 0.5, 'e': 0.9853691105592756}",30,5,-152.28160955818987,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",1
100,False,"{'a': 0.5, 'e': 0.9850727854955552}",25,0,-131.71695593632091,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
